学年学期,课程名,课程号,课序号,课程类别,课程性质,学分,学时,修读方式,修读类型,总成绩,考试日期,绩点,Column29,学号,学年课程号,重修重考,等级成绩类型,等级成绩,考核一,考核一占比,考核二,考核二占比,其他一,其他二,考试类型,开课单位,是否及格,是否有效
2024-2025学年 第一学期,军训,MILI100654,56,集中实践,必修,2,32,正常,主修,94,9/26/2024,4,9/26/2024,2246213436,202420251MILI10065456,初修,百分制,,,0,94,100,,,考查,军事教研室,是,是
2024-2025学年 第一学期,经济学的思维方式,CORE100251,2,基础通识类核心课,选修,2,32,正常,主修,B,11/10/2024,3,11/10/2024,2246213436,202420251CORE10025102,初修,等级制（2014级及以后）,B,A－,15,C＋,70,,A＋,,金禾经济研究中心,是,是
2024-2025学年 第一学期,基础化学实验,CHEM250209,32,数学和基础科学类课程,必修,1,32,正常,主修,92,12/23/2024,4,12/23/2024,2246213436,202420251CHEM25020932,初修,百分制,,94,30,88,20,92,,考查,化学学院,是,是
2024-2025学年 第一学期,大学英语I,ENGL202812,45,公共课程,必修,2,32,正常,主修,76,12/30/2024,2.7,12/28/2024,2246213436,202420251ENGL20281245,初修,百分制,,88,40,65,50,,85,闭卷,外国语学院,是,是
2024-2025学年 第一学期,中国通史,GNED113310,1,基础通识类选修课,选修,2,32,正常,主修,A－,12/30/2024,3.7,12/30/2024,2246213436,202420251GNED11331001,初修,等级制（2014级及以后）,A－,100,30,82,70,,,考查,人文社会科学学院,是,是
2024-2025学年 第一学期,医学导论,BASM000148,6,专业大类基础课程,必修,2,44,正常,主修,77,12/30/2024,2.7,12/30/2024,2246213436,202420251BASM00014806,初修,百分制,,93,50,50,40,,100,考查,医学部,是,是
2024-2025学年 第一学期,思想道德与法治,MLMD196514,53,公共课程,必修,3,48,正常,主修,81,1/4/2025,3.3,1/9/2025,2246213436,202420251MLMD19651453,初修,百分制,,96,50,66,50,,,闭卷,马克思主义学院,是,是
2024-2025学年 第一学期,体育-1,PHED109050,304,公共课程,必修,0.5,32,正常,主修,81,1/9/2025,3.3,1/9/2025,2246213436,202420251PHED109050304,初修,百分制,,,0,81,100,,,考查,体育学院（体育中心）,是,是
2024-2025学年 第一学期,基础化学,CHEM250009,8,数学和基础科学类课程,必修,3,48,正常,主修,77,1/7/2025,2.7,1/13/2025,2246213436,202420251CHEM25000908,初修,百分制,,90,40,68,60,,,闭卷,化学学院,是,是
2024-2025学年 第一学期,风能利用与碳交易,GNED107403,2,基础通识类选修课,选修,2,32,正常,主修,A－,1/14/2025,3.7,1/14/2025,2246213436,202420251GNED10740302,初修,等级制（2014级及以后）,A－,,0,A－,70,B＋,,考查,能源与动力工程学院,是,是
2024-2025学年 第一学期,高等数学V,MATH297907,6,数学和基础科学类课程,必修,4,64,正常,主修,88,11/10/2024,3.7,1/15/2025,2246213436,202420251MATH29790706,初修,百分制,,95,10,90,70,,79,闭卷,数学与统计学院,是,是
2024-2025学年 第一学期,大学计算机 - 数据分析,COMP200827,11,数学和基础科学类课程,必修,3,52,正常,主修,81,1/5/2025,3.3,1/17/2025,2246213436,202420251COMP20082711,初修,百分制,,70,30,85,70,,,闭卷,电子与信息学部,是,是
2024-2025学年 第二学期,危机传播学：从理论到实战,GNED100420,2,基础通识类选修课,选修,2,32,正常,主修,A＋,5/16/2025,4.3,5/16/2025,2246213436,202420252GNED10042002,初修,等级制（2014级及以后）,A＋,100,20,95,70,,90,考查,新闻与新媒体学院,是,是
2024-2025学年 第二学期,马尔萨斯《人口原理》,GNED106118,2,基础通识类选修课,选修,1,16,正常,主修,B＋,5/23/2025,3.3,5/23/2025,2246213436,202420252GNED10611802,初修,等级制（2014级及以后）,B＋,99,50,,0,,68,考查,公共政策与管理学院,是,是
2024-2025学年 第二学期,医用有机化学实验,CHEM250309,35,数学和基础科学类课程,必修,1.5,48,正常,主修,96,6/3/2025,4.3,6/3/2025,2246213436,202420252CHEM25030935,初修,百分制,,95,30,97,20,96,,考查,化学学院,是,是
2024-2025学年 第二学期,医用有机化学,CHEM250109,8,数学和基础科学类课程,必修,4,64,正常,主修,79,6/29/2025,3,6/3/2025,2246213436,202420252CHEM25010908,初修,百分制,,98,20,74,60,,77,闭卷,化学学院,是,是
2024-2025学年 第二学期,国防教育,MILI100554,17,公共课程,必修,2,32,正常,主修,88,6/9/2025,3.7,6/8/2025,2246213436,202420252MILI10055417,初修,百分制,,94,30,85,70,,,闭卷,军事教研室,是,是
2024-2025学年 第二学期,生活中的社会学,CORE101310,1,基础通识类核心课,选修,2,32,正常,主修,A－,6/13/2025,3.7,6/13/2025,2246213436,202420252CORE10131001,初修,等级制（2014级及以后）,A－,99,10,82,50,94,,闭卷,人文社会科学学院,是,是
2024-2025学年 第二学期,大学物理实验II,PHYS280209,6,数学和基础科学类课程,必修,1,32,正常,主修,B＋,6/17/2025,3.3,6/17/2025,2246213436,202420252PHYS28020906,初修,等级制（2014级及以后）,B＋,,0,,0,B＋,,考查,物理学院,是,是
2024-2025学年 第二学期,沟通与文化交流,ENGL203712,2,公共课程,必修,2,32,正常,主修,78,6/18/2025,3,6/22/2025,2246213436,202420252ENGL20371202,初修,百分制,,91,40,68,50,,78,闭卷,外国语学院,是,是
2024-2025学年 第二学期,大学物理IV,PHYS260409,4,数学和基础科学类课程,必修,4,64,正常,主修,85,6/22/2025,3.7,6/27/2025,2246213436,202420252PHYS26040904,初修,百分制,,89,20,84,70,,88,闭卷,物理学院,是,是
2024-2025学年 第二学期,体育-2,PHED109150,26,公共课程,必修,0.5,32,正常,主修,79,6/27/2025,3,6/27/2025,2246213436,202420252PHED10915026,初修,百分制,,,0,79,100,,,考查,体育学院（体育中心）,是,是
2024-2025学年 第二学期,中国近现代史纲要,MLMD100214,56,公共课程,必修,2,32,正常,主修,87,6/16/2025,3.7,6/26/2025,2246213436,202420252MLMD10021456,初修,百分制,,90,50,83,50,,,闭卷,马克思主义学院,是,是
2025-2026学年 第一学期,系统解剖学,BASM304148,4,专业选修课程,必修,4.5,104,正常,主修,64,1/17/2026,1.7,11/12/2025,2246213436,202520261BASM30414804,初修,百分制,,85,40,50,60,,,闭卷,医学部,是,是
2024-2025学年 夏季小学期,医学专业基本技能训练,JZSJ903948,1,集中实践,必修,0,8,正常,主修,97,12/8/2025,4.3,12/8/2025,2246213436,202420253JZSJ90394801,初修,百分制,,97,100,,0,,,考查,医学部,是,是
2025-2026学年 第一学期,生物化学,BICH300248,4,专业大类基础课程,必修,4.5,88,正常,主修,79,12/6/2025,3,12/12/2025,2246213436,202520261BICH30024804,初修,百分制,,92,10,57,40,100,100,闭卷,医学部,是,是
2025-2026学年 第一学期,法医法学,FORM400143,1,专业核心课程,必修,2.5,48,正常,主修,76,12/21/2025,2.7,12/16/2025,2246213436,202520261FORM40014301,初修,百分制,,88,30,71,70,,,闭卷,医学部,是,是
2025-2026学年 第一学期,细胞生物学,BASM304048,5,专业大类基础课程,必修,2,44,正常,主修,72,11/15/2025,2.3,12/15/2025,2246213436,202520261BASM30404805,初修,百分制,,,0,61,70,96,,闭卷,医学部,是,是
2025-2026学年 第一学期,组织学与胚胎学,BASM311040,4,专业大类基础课程,必修,3,64,正常,主修,68,1/15/2026,2,12/15/2025,2246213436,202520261BASM31104004,初修,百分制,,,0,52,50,75,96,闭卷,医学部,是,是
2025-2026学年 第一学期,乡村振兴与新农村建设实践,GNED100622,1,基础通识类选修课,选修,2,56,正常,主修,A＋,12/24/2025,4.3,12/24/2025,2246213436,202520261GNED10062201,初修,等级制（2014级及以后）,A＋,100,20,100,40,,100,考查,人居环境与建筑工程学院,是,是
2025-2026学年 第一学期,健康促进,PUBH301441,2,专业选修课程,选修,1.5,24,正常,主修,97,12/29/2025,4.3,12/29/2025,2246213436,202520261PUBH30144102,初修,百分制,,,0,97,100,,,闭卷,医学部,是,是
2025-2026学年 第一学期,SPSS统计软件应用,PUBH300148,1,专业选修课程,选修,1.5,24,正常,主修,92,1/8/2026,4,1/8/2026,2246213436,202520261PUBH30014801,初修,百分制,,87,40,95,60,,,闭卷,医学部,是,是
2025-2026学年 第一学期,人文英语阅读,ENGL201612,27,公共课程,必修,2,32,正常,主修,76,1/10/2026,2.7,1/13/2026,2246213436,202520261ENGL20161227,初修,百分制,,96,40,56,50,,100,闭卷,外国语学院,是,是
2025-2026学年 第一学期,分子生物学,BIOL300548,4,专业大类基础课程,必修,2,44,正常,主修,74,1/7/2026,2.3,1/13/2026,2246213436,202520261BIOL30054804,初修,百分制,,95,20,53,50,92,100,闭卷,医学部,是,是
2025-2026学年 第一学期,医学实验动物学,BASM311140,3,专业选修课程,选修,1.5,32,正常,主修,89,12/28/2025,3.7,1/13/2026,2246213436,202520261BASM31114003,初修,百分制,,88,20,87,60,97,,闭卷,医学部,是,是
2025-2026学年 第一学期,体育-3,PHED109250,253,公共课程,必修,0.5,32,正常,主修,83,1/15/2026,3.3,1/15/2026,2246213436,202520261PHED109250253,初修,百分制,,,0,83,100,,,考查,体育学院（体育中心）,是,是
2025-2026学年 第一学期,毛泽东思想和中国特色社会主义理论体系概论,MLMD193514,51,公共课程,必修,2,32,正常,主修,92,1/12/2026,4,1/19/2026,2246213436,202520261MLMD19351451,初修,百分制,,96,50,88,50,,,闭卷,马克思主义学院,是,是
2025-2026学年 第一学期,科研方法专题,BASM311240,2,专业选修课程,选修,1.5,24,正常,主修,83,12/26/2025,3.3,1/22/2026,2246213436,202520261BASM31124002,初修,百分制,,,0,83,100,,,闭卷,医学部,是,是
2025-2026学年 第二学期,免疫学,BASM312640,4,专业大类基础课程,必修,2.5,50,正常,主修,72,6/22/2026,2.3,3/4/2026,2246213436,202520262BASM31264004,初修,百分制,,80,10,66,70,88,,闭卷,医学部,是,是
2025-2026学年 第二学期,生理学,BASM312540,4,专业大类基础课程,必修,4,64,正常,主修,72,7/5/2026,2.3,3/6/2026,2246213436,202520262BASM31254004,初修,百分制,,97,10,57,60,,95,闭卷,医学部,是,是
2025-2026学年 第二学期,生物信息学,BASM312940,1,专业选修课程,选修,1.5,32,正常,主修,94,3/10/2026,4,3/10/2026,2246213436,202520262BASM31294001,初修,百分制,,80,30,100,70,,,闭卷,医学部,是,是
2025-2026学年 第二学期,医学微生物学,BASM304348,4,专业大类基础课程,必修,3,56,正常,主修,81,6/27/2026,3.3,5/13/2026,2246213436,202520262BASM30434804,初修,百分制,,95,20,70,60,100,100,闭卷,医学部,是,是
2025-2026学年 第二学期,局部解剖学,BASM304248,4,专业大类基础课程,必修,2.5,64,正常,主修,69,6/14/2026,2,6/18/2026,2246213436,202520262BASM30424804,初修,百分制,,84,50,53,50,,,闭卷,医学部,是,是
2025-2026学年 第二学期,机能实验学Ⅰ,BASM313040,7,专业大类基础课程,必修,1,32,正常,主修,A－,6/30/2026,3.7,6/30/2026,2246213436,202520262BASM31304007,初修,等级制（2014级及以后）,A－,,0,A－,100,,,考查,医学部,是,是
2025-2026学年 第二学期,病理学,BASM312840,4,专业大类基础课程,必修,4.5,96,正常,主修,70,7/3/2026,2,7/1/2026,2246213436,202520262BASM31284004,初修,百分制,,100,10,59,70,85,100,闭卷,医学部,是,是
2025-2026学年 第二学期,习近平新时代中国特色社会主义思想概论,MLMD199314,33,公共课程,必修,3,48,正常,主修,82,6/25/2026,3.3,7/3/2026,2246213436,202520262MLMD19931433,初修,百分制,,88,50,75,50,,,闭卷,马克思主义学院,是,是
2025-2026学年 第二学期,法医学导论,FORM300143,1,专业核心课程,必修,1,16,正常,主修,69,6/6/2026,2,7/6/2026,2246213436,202520262FORM30014301,初修,百分制,,80,30,64,70,,,考查,医学部,是,是
2025-2026学年 第二学期,体育-4,PHED109350,263,公共课程,必修,0.5,32,正常,主修,81,7/7/2026,3.3,7/7/2026,2246213436,202520262PHED109350263,初修,百分制,,,0,81,100,,,考查,体育学院（体育中心）,是,是
2025-2026学年 第二学期,马克思主义基本原理,MLMD196614,45,公共课程,必修,3,48,正常,主修,81,6/29/2026,3.3,7/11/2026,2246213436,202520262MLMD19661445,初修,百分制,,95,50,66,50,,,开卷,马克思主义学院,是,是
